Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Avg
2006,0.56,0.73,0.63,0.48,0.49,0.66,0.54,0.7,0.64,0.69,0.74,0.79,0.6375
2007,1.02,0.7,0.73,0.76,0.69,0.61,0.6,0.6,0.6,0.58,0.58,0.49,0.6633333333
2008,0.3,0.38,0.74,0.53,0.49,0.49,0.6,0.47,0.61,0.67,0.69,0.54,0.5425
2009,0.65,0.52,0.54,0.61,0.65,0.65,0.73,0.68,0.72,0.65,0.79,0.68,0.6558333333
2010,0.75,0.83,0.92,0.85,0.75,0.67,0.62,0.66,0.63,0.7,0.81,0.45,0.72
2011,0.51,0.47,0.65,0.65,0.53,0.62,0.7,0.75,0.57,0.66,0.58,0.6,0.6075
2012,0.49,0.49,0.58,0.72,0.78,0.64,0.58,0.65,0.72,0.79,0.78,0.53,0.6458333333
2013,0.71,0.62,0.67,0.54,0.61,0.69,0.6,0.7,0.77,0.69,0.84,0.7,0.6783333333
2014,0.76,0.55,0.78,0.8,0.86,0.67,0.58,0.83,0.87,0.81,0.66,0.79,0.7466666667
2015,0.85,0.9,0.96,0.75,0.8,0.81,0.73,0.8,0.85,1.1,1.06,1.16,0.8975
2016,1.17,1.37,1.36,1.11,0.95,0.8,0.85,1.02,0.9,0.89,0.91,0.87,1.016666667
2017,1.02,1.14,1.16,0.94,0.91,0.72,0.82,0.87,0.77,0.9,0.88,0.94,0.9225
2018,0.81,0.84,0.88,0.88,0.82,0.77,0.83,0.77,0.8,1.02,0.82,0.92,0.8466666667
2019,0.93,0.95,1.17,1.01,0.85,0.91,0.94,0.94,0.92,1.01,0.99,1.09,0.9758333333
2020,1.16,1.24,1.17,1.13,1.02,0.92,0.9,0.87,0.99,0.89,1.11,0.81,1.0175
2021,0.81,0.64,0.88,0.76,0.79,0.85,0.92,0.81,0.92,0.99,0.93,0.86,0.8466666667